AccountID,AccountName,Type,Amount,LineItem,Status
1001,Acme Corp,Fee,100.00,Setup Fee,Active
1001,Acme Corp,Fee,50.00,Processing Fee,Active
1002,Widget Inc,Fee,150.50,Monthly Fee,Active
1002,Widget Inc,Fee,75.00,Service Fee,Active
1003,Global Ltd,Loan,3000.00,Principal Payment,Active
1003,Global Ltd,Loan,2000.00,Additional Advance,Active
1004,Tech Solutions,Fee,100.00,Setup Fee,Active
1004,Tech Solutions,Fee,75.25,Processing Fee,Active
1005,Finance Co,Interest,30.00,Q1 Interest,Active
1005,Finance Co,Interest,20.00,Q2 Interest,Active
1006,Services LLC,Fee,200.00,Annual Fee,Active
1006,Services LLC,Fee,100.00,Consulting Fee,Active
1007,Consulting Group,Fee,300.00,Base Fee,Active
1007,Consulting Group,Fee,125.50,Variable Fee,Active
1008,Investment Partners,Loan,7000.00,Term Loan,Active
1008,Investment Partners,Loan,3000.00,Bridge Loan,Active
1010,Solutions Inc,Fee,150.00,Monthly Fee,Active
1010,Solutions Inc,Fee,60.00,Support Fee,Active
1011,Analytics Ltd,Fee,200.00,Retainer,Active
1011,Analytics Ltd,Fee,80.00,Extra Services,Active
1012,Enterprise Co,Interest,45.00,Accrued Q1,Active
1012,Enterprise Co,Interest,30.00,Accrued Q2,Active
1013,Digital Agency,Fee,120.00,Setup Fee,Active
1013,Digital Agency,Fee,75.00,Training Fee,Active
1014,Small Adjustments Inc,Fee,0.01,Rounding Adjustment,Active
1014,Small Adjustments Inc,Fee,0.02,Minor Correction,Active
1015,Tiny Amounts LLC,Fee,-0.01,Credit Adjustment,Active
1015,Tiny Amounts LLC,Fee,-0.02,Refund,Active
1016,Rounding Co,Fee,0.03,Penny Difference,Active
1016,Rounding Co,Fee,-0.01,Small Variance,Active
1017,Negligible Ltd,Fee,0.01,Trivial Amount,Active
1017,Negligible Ltd,Fee,-0.03,Near Threshold,Active
